PF10417.11	1-cysPrx_C
PF09819.11	ABC_cobalt
PF16962.7	ABC_export
PF00664.25	ABC_membrane
PF06472.17	ABC_membrane_2
PF13748.8	ABC_membrane_3
PF04392.14	ABC_sub_bind
PF00005.29	ABC_tran
PF09822.11	ABC_transp_aux
PF03886.15	ABC_trans_aux
PF06541.13	ABC_trans_CmpB
PF14510.8	ABC_trans_N
PF16949.7	ABC_tran_2
PF16326.7	ABC_tran_CTD
PF12848.9	ABC_tran_Xtn
PF12407.10	Abdominal-A
PF05270.15	AbfB
PF18225.3	AbfS_sensor
PF03806.15	ABG_transport
PF00561.22	Abhydrolase_1
PF20091.1	Abhydrolase_10
PF02230.18	Abhydrolase_2
PF07859.15	Abhydrolase_3
PF08386.12	Abhydrolase_4
PF12695.9	Abhydrolase_5
PF12697.9	Abhydrolase_6
PF12715.9	Abhydrolase_7
PF06259.14	Abhydrolase_8
PF10081.11	Abhydrolase_9
PF15420.8	Abhydrolase_9_N
PF04083.18	Abhydro_lipase
PF08843.13	AbiEii
PF09407.12	AbiEi_1
PF09952.11	AbiEi_2
PF11459.10	AbiEi_3
PF17194.6	AbiEi_3_N
PF13338.8	AbiEi_4
PF10899.10	AbiGi
PF16873.7	AbiGii_2
PF14253.8	AbiH
PF18860.3	AbiJ_NTD3
PF18863.3	AbiJ_NTD4
PF18865.3	AbiJ_NTD5
PF18864.3	AbiTii
PF07751.13	Abi_2
PF14337.8	Abi_alpha
PF14355.8	Abi_C
PF07815.16	Abi_HHR
PF16182.7	AbLIM_anchor
PF03992.18	ABM
PF09441.12	Abp2
PF05145.14	AbrB
PF14250.8	AbrB-like
PF18277.3	AbrB_C
PF07280.13	Ac110_PIF
PF05814.13	Ac76
PF05820.13	Ac81
PF08900.13	AcaB
PF16177.7	ACAS_N
PF13000.9	Acatn
PF00887.21	ACBP
PF03255.16	ACCA
PF08326.14	ACC_central
PF13822.8	ACC_epsilon
PF16671.7	ACD
PF14733.8	ACDC
PF06315.13	AceK
PF00871.19	Acetate_kinase
PF09290.13	AcetDehyd-dimer
PF08882.13	Acetone_carb_G
PF02550.17	AcetylCoA_hydro
PF13336.8	AcetylCoA_hyd_C
PF00583.27	Acetyltransf_1
PF13673.9	Acetyltransf_10
PF13720.8	Acetyltransf_11
PF13880.8	Acetyltransf_13
PF03421.18	Acetyltransf_14
PF17013.7	Acetyltransf_15
PF05301.13	Acetyltransf_16
PF17668.3	Acetyltransf_17
PF18014.3	Acetyltransf_18
PF18015.3	Acetyltransf_19
PF00797.19	Acetyltransf_2
PF13302.9	Acetyltransf_3
PF13420.9	Acetyltransf_4
PF13444.8	Acetyltransf_5
PF13480.9	Acetyltransf_6
PF13508.9	Acetyltransf_7
PF13523.8	Acetyltransf_8
PF13527.9	Acetyltransf_9
PF14542.8	Acetyltransf_CG
PF08674.12	AChE_tetra
PF15270.8	ACI44
PF03767.16	Acid_phosphat_B
PF12689.9	Acid_PPase
PF05054.14	AcMNPV_Ac109
PF04412.15	AcnX
PF00330.22	Aconitase
PF06434.15	Aconitase_2_N
PF11791.10	Aconitase_B_N
PF00694.21	Aconitase_C
PF01756.21	ACOX
PF06857.13	ACP
PF05777.14	Acp26Ab
PF06313.13	ACP53EA
PF01648.22	ACPS
PF04336.14	ACP_PD
PF08545.12	ACP_syn_III
PF08541.12	ACP_syn_III_C
PF10766.11	AcrZ
PF00873.21	ACR_tran
PF19436.1	ACS_CODH_B_C
PF01842.27	ACT
PF09192.12	Act-Frag_cataly
PF05058.14	ActA
PF16102.7	ACTH_assoc
PF00976.20	ACTH_domain
PF00022.21	Actin
PF14408.8	Actino_peptide
PF17003.7	Actin_micro
PF11657.10	Activator-TraM
PF11498.10	Activator_LAG-3
PF01064.25	Activin_recp
PF16840.7	ACTL7A_N
PF10000.11	ACT_3
PF13291.8	ACT_4
PF13710.8	ACT_5
PF13740.8	ACT_6
PF13840.8	ACT_7
PF19571.1	ACT_8
PF18859.3	acVLRF1
PF01643.19	Acyl-ACP_TE
PF00441.26	Acyl-CoA_dh_1
PF08028.13	Acyl-CoA_dh_2
PF12806.9	Acyl-CoA_dh_C
PF02770.21	Acyl-CoA_dh_M
PF02771.18	Acyl-CoA_dh_N
PF14749.8	Acyl-CoA_ox_N
PF12590.10	Acyl-thio_N
PF12186.10	AcylCoA_dehyd_C
PF12418.10	AcylCoA_DH_N
PF00708.20	Acylphosphatase
PF01553.23	Acyltransferase
PF19576.1	Acyltransf_2
PF16076.7	Acyltransf_C
PF02551.17	Acyl_CoA_thio
PF00698.23	Acyl_transf_1
PF02273.17	Acyl_transf_2
PF01757.24	Acyl_transf_3
PF18883.2	AC_1
PF16214.7	AC_N
PF09793.11	AD
PF10198.11	Ada3
PF16698.7	ADAM17_MPD
PF08516.14	ADAM_CR
PF17771.3	ADAM_CR_2
PF19236.1	ADAM_CR_3
PF05986.16	ADAM_spacer1
PF10199.11	Adaptin_binding
PF01602.22	Adaptin_N
PF00928.23	Adap_comp_sub
PF02805.18	Ada_Zn_binding
PF06314.13	ADC
PF17981.3	ADD_ATRX
PF17980.3	ADD_DNMT3
PF13382.8	Adenine_deam_C
PF03352.15	Adenine_glyco
PF04008.16	Adenosine_kin
PF02438.18	Adeno_100
PF03052.17	Adeno_52K
PF02703.16	Adeno_E1A
PF01691.18	Adeno_E1B_19K
PF01696.19	Adeno_E1B_55K
PF04623.14	Adeno_E1B_55K_N
PF06040.13	Adeno_E3
PF05248.14	Adeno_E3A
PF03376.16	Adeno_E3B
PF04834.14	Adeno_E3_14_5
PF03307.16	Adeno_E3_15_3
PF02440.17	Adeno_E3_CR1
PF02439.17	Adeno_E3_CR2
PF05385.13	Adeno_E4
PF04528.15	Adeno_E4_34
PF06931.13	Adeno_E4_ORF3
PF04881.15	Adeno_GP19K
PF01065.21	Adeno_hexon
PF03678.16	Adeno_hexon_C
PF02456.17	Adeno_IVa2
PF00541.19	Adeno_knob
PF01686.19	Adeno_Penton_B
PF03955.16	Adeno_PIX
PF03910.15	Adeno_PV
PF01310.20	Adeno_PVIII
PF05829.14	Adeno_PX
PF00608.19	Adeno_shaft
PF02459.17	Adeno_terminal
PF03228.16	Adeno_VII
PF16579.7	AdenylateSensor
PF01295.20	Adenylate_cycl
PF00709.23	Adenylsucc_synt
PF12633.9	Adenyl_cycl_N
PF04439.14	Adenyl_transf
PF16812.7	AdHead_fibreRBD
PF09085.12	Adhes-Ig_like
PF04619.14	Adhesin_Dr
PF16747.7	Adhesin_E
PF03257.15	Adhesin_P1
PF18652.3	Adhesin_P1_N
PF08240.14	ADH_N
PF16884.7	ADH_N_2
PF13823.8	ADH_N_assoc
PF00106.27	adh_short
PF13561.8	adh_short_C2
PF00107.28	ADH_zinc_N
PF13602.8	ADH_zinc_N_2
PF02274.19	ADI
PF11559.10	ADIP
PF15202.8	Adipogenin
PF06377.13	Adipokin_hormo
PF00406.24	ADK
PF05191.16	ADK_lid
PF19627.1	ADNP_N
PF05221.19	AdoHcyase
PF00670.23	AdoHcyase_NAD
PF08132.13	AdoMetDC_leader
PF02675.17	AdoMet_dc
PF07757.15	AdoMet_MTase
PF01941.21	AdoMet_Synthase
PF03496.16	ADPrib_exo_Tox
PF18648.3	ADPRTs_Tse2
PF04587.17	ADP_PFK_GK
PF03747.16	ADP_ribosyl_GH
PF10397.11	ADSL_C
PF20032.1	ADYC
PF08509.13	Ad_cyc_g-alpha
PF16701.7	Ad_Cy_reg
PF06355.15	Aegerolysin
PF17049.7	AEP1
PF01117.22	Aerolysin
PF05110.15	AF-4
PF18876.2	AF-4_C
PF14591.8	AF0941-like
PF14556.8	AF2331-like
PF18875.2	AF4_int
PF05775.14	AfaD
PF15339.8	Afaf
PF03969.18	AFG1_ATPase
PF07792.14	Afi1
PF08493.12	AflR
PF01314.20	AFOR_C
PF02730.17	AFOR_N
PF02420.17	AFP
PF18815.3	AFP_2
PF03756.15	AfsA
PF08731.13	AFT
PF11786.10	Aft1_HRA
PF11787.10	Aft1_HRR
PF11785.10	Aft1_OSA
PF12249.10	AftA_C
PF12250.10	AftA_N
PF04671.14	Ag332
PF17366.4	AGA2
PF17992.3	Agarase_CBM
PF05641.14	Agenet
PF07468.13	Agglutinin
PF18021.3	Agglutinin_C
PF17558.4	AGH
PF17998.3	AgI_II_C2
PF19712.1	AGK_C
PF18079.3	AglB_L1
PF09171.12	AGOG
PF05039.14	Agouti
PF10427.11	Ago_hook
PF18236.3	AGO_N
PF18351.3	Ago_N_1
PF18309.3	Ago_PAZ
PF06376.14	AGP
PF18723.3	aGPT-Pplase1
PF18724.3	aGPT-Pplase2
PF18746.3	aGPT-Pplase3
PF04647.17	AgrB
PF19188.2	AGRB_N
PF05931.13	AgrD
PF04730.14	Agro_virD5
PF18134.3	AGS_C
PF11440.10	AGT
PF06396.13	AGTRAP
PF09229.13	Aha1_N
PF17793.3	AHD
PF14412.8	AHH
PF18743.3	AHJR-like
PF17327.4	AHL_synthase
PF00578.23	AhpC-TSA
PF13911.8	AhpC-TSA_2
PF08327.13	AHSA1
PF09236.12	AHSP
PF01594.18	AI-2E_transport
PF15334.8	AIB
PF01808.20	AICARFT_IMPCHas
PF18767.3	AID
PF16168.7	AIDA
PF14186.8	Aida_C2
PF08910.12	Aida_N
PF18158.3	AidB_N
PF14962.8	AIF-MLS
PF14721.8	AIF_C
PF04548.18	AIG1
PF13772.8	AIG2_2
PF06316.13	Ail_Lom
PF10315.11	Aim19
PF11489.10	Aim21
PF01987.19	AIM24
PF17096.7	AIM3
PF17050.7	AIM5
PF16780.7	AIMP2_LysRS_bd
PF03915.15	AIP3
PF10592.11	AIPR
PF00731.22	AIRC
PF00586.26	AIRS
PF02769.24	AIRS_C
PF15298.8	AJAP1_PANP_C
PF14469.8	AKAP28
PF15304.8	AKAP2_C
PF10469.11	AKAP7_NLS
PF10470.11	AKAP7_RIRII_bdg
PF04988.14	AKAP95
PF05716.15	AKAP_110
PF12443.10	AKNA
PF00490.23	ALAD
PF01262.23	AlaDh_PNT_C
PF05222.17	AlaDh_PNT_N
PF06610.15	AlaE
PF11839.10	Alanine_zipper
PF00842.23	Ala_racemase_C
PF01168.22	Ala_racemase_N
PF09135.13	Alb1
PF01918.23	Alba
PF04326.16	AlbA_2
PF08027.13	Albumin_I
PF16720.7	Albumin_I_a
PF17527.4	ALC
PF11606.10	AlcCBM31
PF00171.24	Aldedh
PF01081.21	Aldolase
PF00596.23	Aldolase_II
PF01263.22	Aldose_epim
PF00248.23	Aldo_ket_red
PF11266.10	Ald_deCOase
PF01315.24	Ald_Xan_dh_C
PF02738.20	Ald_Xan_dh_C2
PF03752.15	ALF
PF12165.10	Alfin
PF15924.7	ALG11_N
PF08660.13	Alg14
PF05208.15	ALG3
PF03155.17	Alg6_Alg8
PF11182.10	AlgF
PF13372.8	Alginate_exp
PF05426.14	Alginate_lyase
PF08787.13	Alginate_lyase2
PF16822.7	ALGX
PF13949.8	ALIX_LYPXL_bnd
PF06029.13	AlkA_N
PF14864.8	Alkyl_sulf_C
PF14863.8	Alkyl_sulf_dimr
PF00245.22	Alk_phosphatase
PF03561.17	Allantoicase
PF05953.14	Allatostatin
PF06351.13	Allene_ox_cyc
PF05549.13	Allexi_40kDa
PF04864.15	Alliinase_C
PF15309.8	ALMS_motif
PF18727.3	ALMS_repeat
PF11744.10	ALMT
PF04030.16	ALO
PF06401.13	Alpha-2-MRAP_C
PF06400.13	Alpha-2-MRAP_N
PF00128.26	Alpha-amylase
PF02806.20	Alpha-amylase_C
PF02903.16	Alpha-amylase_N
PF09071.12	Alpha-amyl_C
PF07821.14	Alpha-amyl_C2
PF04168.14	Alpha-E
PF14456.8	alpha-hel2
PF06964.14	Alpha-L-AF_C
PF09261.13	Alpha-mann_mid
PF08829.12	AlphaC_N
PF17480.4	AlphaC_N2
PF02883.22	Alpha_adaptinC2
PF02296.18	Alpha_adaptin_C
PF01589.18	Alpha_E1_glycop
PF00943.21	Alpha_E2_glycop
PF01563.18	Alpha_E3_glycop
PF03229.15	Alpha_GJ
PF18489.3	Alpha_Helical
PF02816.20	Alpha_kinase
PF01120.19	Alpha_L_fucos
PF02232.17	Alpha_TIF
PF09608.12	Alph_Pro_TM
PF17989.3	ALP_N
PF15729.7	ALS2CR11
PF15299.8	ALS2CR8
PF10369.11	ALS_ss_C
PF16541.7	AltA1
PF20080.1	ALTTAQ_rpt
PF11092.10	Alveol-reg_P311
PF02430.17	AMA-1
PF07344.13	Amastin
PF17645.3	Amdase
PF12475.10	Amdo_NSP
PF05111.14	Amelin
PF02948.17	Amelogenin
PF15757.7	Amelotin
PF12190.10	amfpi-1
PF04709.14	AMH_N
PF01425.23	Amidase
PF01510.27	Amidase_2
PF01520.20	Amidase_3
PF05382.15	Amidase_5
PF12671.9	Amidase_6
PF01979.22	Amidohydro_1
PF04909.16	Amidohydro_2
PF07969.13	Amidohydro_3
PF12224.10	Amidoligase_2
PF09663.12	Amido_AtzD_TrzD
PF11741.10	AMIN
PF10706.11	Aminoglyc_resit
PF10023.11	Aminopep
PF00155.23	Aminotran_1_2
PF00202.23	Aminotran_3
PF01063.21	Aminotran_4
PF00266.21	Aminotran_5
PF01593.26	Amino_oxidase
PF02293.17	AmiS_UreI
PF10997.10	Amj
PF01871.19	AMMECR1
PF00909.23	Ammonium_transp
PF14828.8	Amnionless
PF10423.11	AMNp_N
PF02461.18	AMO
PF04896.14	AmoC
PF03782.19	AMOP
PF00501.30	AMP-binding
PF13193.8	AMP-binding_C
PF14535.8	AMP-binding_C_2
PF17113.7	AmpE
PF20068.1	Amphi-Trp
PF16561.7	AMPK1_CBM
PF04739.17	AMPKBI
PF19326.1	AMP_deaminase
PF05195.18	AMP_N
PF12859.9	ANAPC1
PF03256.18	ANAPC10
PF15243.8	ANAPC15
PF17256.4	ANAPC16
PF08672.13	ANAPC2
PF12895.9	ANAPC3
PF12896.9	ANAPC4
PF12894.9	ANAPC4_WD40
PF12862.9	ANAPC5
PF04049.15	ANAPC8
PF12856.9	ANAPC9
PF10471.11	ANAPC_CDC26
PF01821.20	ANATO
PF02166.18	Androgen_recep
PF06369.14	Anemone_cytotox
PF03139.17	AnfG_VnfG
PF09582.12	AnfO_nitrog
PF01094.30	ANF_receptor
PF12240.10	Angiomotin_C
PF08174.13	Anillin
PF16018.7	Anillin_N
PF00023.32	Ank
PF07260.13	ANKH
PF18418.3	AnkUBD
PF12796.9	Ank_2
PF13606.8	Ank_3
PF13637.8	Ank_4
PF13857.8	Ank_5
PF03702.16	AnmK
PF00191.22	Annexin
PF18411.3	Annexin_like
PF04547.14	Anoctamin
PF16178.7	Anoct_dimer
PF10731.11	Anophelin
PF00212.20	ANP
PF03452.16	Anp1
PF03374.16	ANT
PF08346.14	AntA
PF03861.16	ANTAR
PF07651.18	ANTH
PF09156.12	Anthrax-tox_M
PF03497.18	Anthrax_toxA
PF05587.15	Anth_Ig
PF04715.15	Anth_synt_I_N
PF10796.11	Anti-adapt_IraP
PF15777.7	Anti-TRAP
PF02522.16	Antibiotic_NAT
PF08264.15	Anticodon_1
PF19269.1	Anticodon_2
PF19303.1	Anticodon_3
PF11410.10	Antifungal_pept
PF11402.10	Antifungal_prot
PF11641.10	Antigen_Bd37
PF16364.7	Antigen_C
PF09255.12	Antig_Caf1
PF08105.13	Antimicrobial10
PF08106.13	Antimicrobial11
PF08107.13	Antimicrobial12
PF08108.13	Antimicrobial13
PF08109.13	Antimicrobial14
PF08110.14	Antimicrobial15
PF08129.13	Antimicrobial17
PF08130.13	Antimicrobial18
PF08225.13	Antimicrobial19
PF08256.13	Antimicrobial20
PF14861.8	Antimicrobial21
PF16047.7	Antimicrobial22
PF16048.7	Antimicrobial23
PF16049.7	Antimicrobial24
PF16839.7	Antimicrobial25
PF08018.13	Antimicrobial_1
PF08023.14	Antimicrobial_2
PF08025.13	Antimicrobial_3
PF08024.13	Antimicrobial_4
PF08026.13	Antimicrobial_5
PF08036.13	Antimicrobial_6
PF08102.13	Antimicrobial_7
PF08103.13	Antimicrobial_8
PF08104.13	Antimicrobial_9
PF03230.15	Antirestrict
PF02822.16	Antistasin
PF03589.15	Antiterm
PF05586.13	Ant_C
PF15721.7	ANXA2R
PF03098.17	An_peroxidase
PF18678.3	AOC_like
PF01786.19	AOX
PF15001.8	AP-5_subunit_s1
PF15745.7	AP1AR
PF00847.22	AP2
PF14796.8	AP3B1_C
PF06375.13	AP3D1
PF19327.1	Ap4A_phos_N
PF14807.8	AP4E_app_platf
PF17908.3	APAF1_C
PF02558.18	ApbA
PF08546.13	ApbA_C
PF02424.17	ApbE
PF05839.13	Apc13p
PF05841.13	Apc15p
PF18122.3	APC1_C
PF19521.1	Apc1_N
PF14921.8	APCDDC
PF05972.13	APC_15aa
PF05956.13	APC_basic
PF16689.7	APC_N_CC
PF05923.14	APC_r
PF18797.3	APC_rep
PF16634.7	APC_u13
PF16635.7	APC_u14
PF16636.7	APC_u15
PF16630.7	APC_u5
PF16633.7	APC_u9
PF18862.3	ApeA_NTD1
PF16977.7	ApeC
PF19283.1	APEH_N
PF15360.8	Apelin
PF18946.2	Apex
PF04110.15	APG12
PF04106.14	APG5
PF04111.14	APG6
PF17675.3	APG6_N
PF01636.25	APH
PF06105.14	Aph-1
PF14557.8	AphA_like
PF04655.16	APH_6_hur
PF05918.13	API5
PF00807.19	Apidaecin
PF11671.10	Apis_Csd
PF20067.1	APMAP_N
PF05355.13	Apo-CII
PF05778.14	Apo-CIII
PF05418.13	Apo-VLDL-II
PF04711.15	ApoA-II
PF12491.10	ApoB100_C
PF18769.3	APOBEC1
PF18772.3	APOBEC2
PF18771.3	APOBEC3
PF18775.3	APOBEC4
PF18774.3	APOBEC4_like
PF05240.16	APOBEC_C
PF08210.13	APOBEC_N
PF04691.14	ApoC-I
PF15119.8	APOC4
PF01333.21	Apocytochr_F_C
PF16639.7	Apocytochr_F_N
PF05461.13	ApoL
PF01442.20	Apolipoprotein
PF15148.8	Apolipo_F
PF07464.13	ApoLp-III
PF11032.10	ApoM
PF09769.11	ApoO
PF05634.13	APO_RNA-bind
PF10515.11	APP_amyloid
PF12924.9	APP_Cu_bd
PF12925.9	APP_E2
PF02177.18	APP_N
PF12716.9	Apq12
PF12139.10	APS-reductase_C
PF01583.22	APS_kinase
PF03440.16	APT
PF10351.11	Apt1
PF06079.13	Apyrase
PF01261.26	AP_endonuc_2
PF16399.7	Aquarius_N
PF12489.10	ARA70
PF09206.13	ArabFuran-catal
PF12625.9	Arabinose_bd
PF02610.17	Arabinose_Isome
PF11762.10	Arabinose_Iso_C
PF04602.14	Arabinose_trans
PF14896.8	Arabino_trans_C
PF17689.3	Arabino_trans_N
PF02311.21	AraC_binding
PF14525.8	AraC_binding_2
PF06719.15	AraC_N
PF06081.13	ArAE_1
PF11728.10	ArAE_1_C
PF10334.11	ArAE_2
PF10337.11	ArAE_2_N
PF19368.1	AraR_C
PF09692.12	Arb1
PF09757.11	Arb2
PF03869.16	Arc
PF13355.8	ARC6-like_IMS
PF18653.3	Arcadin_1
PF12942.9	Archaeal_AmoA
PF01951.18	Archease
PF01917.18	Arch_flagellin
PF04659.15	Arch_fla_DE
PF18162.3	Arc_C
PF19284.1	Arc_MA
PF06819.13	Arc_PepC
PF06847.13	Arc_PepC_II
PF08394.12	Arc_trans_TRASH
PF03079.16	ARD
PF07275.13	ArdA
PF08401.13	ArdcN
PF07573.13	AreA_N
PF17296.4	ArenaCapSnatch
PF00798.20	Arena_glycoprot
PF17290.4	Arena_ncap_C
PF00843.19	Arena_nucleocap
PF06317.13	Arena_RNA_pol
PF00025.23	Arf
PF14949.8	ARF7EP_C
PF03889.15	ArfA
PF06456.15	Arfaptin
PF01412.20	ArfGap
PF00491.23	Arginase
PF00764.21	Arginosuc_synth
PF01960.20	ArgJ
PF15346.8	ARGLU
PF08699.12	ArgoL1
PF16488.7	ArgoL2
PF16487.7	ArgoMid
PF16486.7	ArgoN
PF11581.10	Argos
PF17944.3	Arg_decarbox_C
PF17810.3	Arg_decarb_HB
PF01316.23	Arg_repressor
PF02863.20	Arg_repressor_C
PF03485.18	Arg_tRNA_synt_N
PF15441.8	ARHGEF5_35
PF19422.1	Ariadne
PF18938.2	aRib
PF01388.23	ARID
PF06770.13	Arif-1
PF15840.7	ARL17
PF11527.10	ARL2_Bind_BART
PF15062.8	ARL6IP6
PF18719.3	ArlS_N
PF00514.25	Arm
PF09003.12	Arm-DNA-bind_1
PF12167.10	Arm-DNA-bind_2
PF13356.8	Arm-DNA-bind_3
PF14657.8	Arm-DNA-bind_4
PF17293.4	Arm-DNA-bind_5
PF10208.11	ARMET_C
PF20145.1	ARMET_N
PF01937.21	ARMT1-like_dom
PF04826.15	Arm_2
PF16186.7	Arm_3
PF16629.7	Arm_APC_u3
PF18770.3	Arm_vescicular
PF18677.3	ArnB_C
PF18583.3	Arnt_C
PF07302.13	AroM
PF11723.10	Aromatic_hydrox
PF15684.7	AROS
PF05856.14	ARPC4
PF12120.10	Arr-ms
PF02752.24	Arrestin_C
PF00339.31	Arrestin_N
PF04959.15	ARS2
PF02374.17	ArsA_ATPase
PF17886.3	ArsA_HSP20
PF02040.17	ArsB
PF03960.17	ArsC
PF06953.13	ArsD
PF03773.15	ArsP_1
PF11449.10	ArsP_2
PF09824.11	ArsR
PF01129.20	ART
PF18760.3	ART-PolyVal
PF18084.3	ARTD15_N
PF01606.18	Arteri_env
PF00951.20	Arteri_Gl
PF02497.17	Arteri_GP4
PF16749.7	Arteri_nsp7a
PF01481.18	Arteri_nucleo
PF04161.15	Arv1
PF01731.22	Arylesterase
PF05935.13	Arylsulfotrans
PF14269.8	Arylsulfotran_2
PF17425.4	Arylsulfotran_N
PF00858.26	ASC
PF04266.16	ASCH
PF08688.12	ASD1
PF08687.13	ASD2
PF04729.15	ASF1_hist_chap
PF01671.18	ASFV_360
PF05568.13	ASFV_J13L
PF05293.13	ASFV_L11L
PF06556.13	ASFV_p27
PF15780.7	ASH
PF15323.8	Ashwin
PF09010.12	AsiA
PF19039.2	ASK_PH
PF08328.13	ASL_C
PF14698.8	ASL_C2
PF05170.16	AsmA
PF19272.1	ASMase_C
PF13109.8	AsmA_1
PF13502.8	AsmA_2
PF03590.17	AsnA
